dataset,system,seed,epoch,step,loss,started_at_utc
ade,eae,42,1,625,0.00343,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,630,0.00107,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,635,0.00343,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,640,0.00162,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,645,0.0022,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,650,0.00012,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,655,0.01801,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,660,3e-05,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,665,0.00164,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,670,0.00033,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,675,0.03839,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,680,0.00017,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,685,0.00167,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,690,0.01134,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,695,0.01687,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,700,0.00115,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,705,0.00753,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,710,0.00061,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,715,0.00516,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,720,0.02178,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,725,0.00046,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,730,0.00016,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,735,0.00179,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,740,0.03384,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,745,3e-05,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,750,0.00059,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,755,0.00044,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,760,0.00062,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,765,0.04678,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,770,0.00018,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,775,0.00078,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,780,0.00112,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,785,0.00107,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,790,0.00183,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,795,0.00149,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,800,0.00415,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,805,0.00024,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,810,0.00132,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,815,0.00427,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,820,0.01817,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,825,0.00019,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,830,0.01137,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,835,0.006,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,840,0.00876,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,845,0.00628,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,850,0.00072,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,855,0.00235,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,860,0.00016,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,865,2e-05,2026-09-04T08:54:54.422954+00:00
ade,hrge,42,1,5,0.00226,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,10,0.02042,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,15,0.03574,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,20,0.00118,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,25,0.06945,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,30,0.00265,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,35,0.00033,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,40,0.00025,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,45,0.00078,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,50,0.00116,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,55,0.02438,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,60,0.00297,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,65,0.02361,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,70,0.01346,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,75,0.00086,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,80,0.00143,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,85,0.00129,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,90,0.00499,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,95,0.00034,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,100,0.01051,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,105,0.01021,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,110,0.02906,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,115,0.00027,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,120,0.0004,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,125,0.00452,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,130,0.00083,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,135,0.01169,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,140,0.00094,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,145,0.00139,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,150,0.009,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,155,0.00104,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,160,0.03909,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,165,0.01918,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,170,0.00507,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,175,0.03651,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,180,0.00875,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,185,0.01121,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,190,0.00202,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,195,0.00602,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,200,0.02238,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,205,0.00289,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,210,0.0018,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,215,0.00131,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,220,0.00028,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,225,0.00033,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,230,0.01637,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,235,9e-05,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,240,0.01865,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,245,0.00944,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,250,0.00032,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,255,0.0001,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,260,0.00027,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,265,0.00314,2026-09-04T09:46:48.412932+00:00
